Days Old,Inf,Name,Position,Nat,Age,Club,Ability,Potential,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Media Description,Expires,Left Foot,Right Foot,Av Rat,Apps,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,UID,Cor,Height
-,Yth,Edoardo Squizzato,GK,ITA,16,Cittadella,Unknown,Unknown,€7K - €20K,€950 p/m,-,-,-,Balanced,Media-friendly,Young goalkeeper,30/6/2026,Reasonable,Very Strong,-,-,7,10,7,12,6,5,5,12,7,6,2,1,13,11,1,1,2,2,6,1,13,12,2,1,3,2,9,11,10,11,1,4,3,5,4,6,11,4,4,2000222329,3,186 cm
-,Yth,Francesco Lo Casto,"AM (C), ST (C)",ITA,17,Cittadella,Unknown,Unknown,€5K - €14K,€950 p/m,-,-,-,Fairly Determined,Media-friendly,Young attacking midfielder,30/6/2025,Reasonable,Very Strong,-,-,2,11,1,6,8,3,5,4,3,5,5,4,7,15,9,12,12,8,3,9,6,2,8,6,4,9,8,4,2,3,8,4,1,5,8,3,3,3,6,2000222321,4,179 cm
-,Yth,Gabriele Librizzi,ST (C),ITA,17,Cittadella,Unknown,Unknown,€4.5K - €14K,€950 p/m,-,-,-,Fairly Determined,Media-friendly,Young striker,30/6/2025,Reasonable,Very Strong,-,-,2,11,3,5,11,4,3,5,1,1,9,1,7,16,6,11,11,11,2,11,5,2,8,1,1,8,11,3,1,3,5,5,1,2,9,1,1,2,3,2000222320,1,183 cm
-,Yth,Davide Libralon,D (C),ITA,17,Cittadella,Unknown,Unknown,€8K - €24K,€950 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Very Strong,Fairly Strong,-,-,4,6,2,12,4,9,5,7,3,5,2,1,13,7,1,4,4,5,1,7,6,3,1,3,6,2,5,5,13,3,5,8,9,4,4,1,2,4,5,2000222319,3,178 cm
-,,Elhan Kastrati,GK,ALB,26,Cittadella,Unknown,Unknown,€450K - €1.4M,"€36,500 p/m",-,-,-,Balanced,Level-headed,Goalkeeper,30/6/2026,Weak,Very Strong,-,-,13,12,12,8,13,12,12,12,12,12,12,5,12,11,5,5,9,10,12,9,14,12,10,8,5,9,12,10,12,13,15,12,5,12,8,13,10,12,12,43212533,5,189 cm
-,Loa,Riccardo Tamiozzo,ST (C),ITA,17,Cittadella,Unknown,Unknown,€50K - €150K,€950 p/m,-,-,-,Balanced,Media-friendly,Young striker,30/6/2025,Very Strong,Weak,-,-,3,10,3,10,9,11,2,5,3,4,13,4,9,7,14,9,12,9,2,14,12,1,2,7,5,13,7,5,3,2,8,8,6,6,8,2,2,4,7,2000106624,6,185 cm
-,,Emil Kornvig,M/AM (C),DEN,23,Cittadella,Unknown,Unknown,€230K - €700K,"€11,250 p/m",-,-,-,Balanced,"Outspoken, Media-friendly",Midfielder,30/6/2026,Fairly Strong,Very Strong,-,-,1,12,2,11,11,11,11,12,1,9,10,7,12,12,10,9,11,13,1,8,13,2,11,9,11,12,12,12,12,1,12,11,12,13,12,1,3,11,11,27133065,5,187 cm
-,,Domenico Frare,D (C),ITA,27,Cittadella,Unknown,Unknown,€400K - €1.2M,"€29,000 p/m",-,-,-,Balanced,Level-headed,Centre-back,30/6/2025,Weak,Very Strong,-,-,2,11,1,12,10,12,13,11,3,12,11,8,11,12,9,9,12,5,2,13,14,3,10,9,14,4,11,11,14,2,15,14,13,10,9,3,3,8,14,43093054,7,187 cm
-,Loa,Andrea Cecchetto,D (C),ITA,20,Cittadella,Unknown,Unknown,€8K - €22K,"€1,800 p/m",-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2024,Weak,Very Strong,-,-,1,8,1,7,12,7,6,8,1,4,6,1,13,7,3,1,6,5,3,12,5,3,9,1,13,4,12,3,13,2,3,3,13,5,5,3,2,3,6,43592666,1,179 cm
-,,Simone Branca,"DM, M (C)",ITA,31,Cittadella,Unknown,Unknown,Not for Sale,"€36,500 p/m",-,-,-,Spirited,Evasive,Midfielder,30/6/2025,Very Strong,Weak,-,-,1,12,2,13,12,12,13,12,1,13,12,12,13,14,12,9,13,10,3,10,10,2,12,12,11,10,12,13,12,1,14,12,11,14,12,2,3,14,14,43074523,12,179 cm
-,Yth,Dino Tatarevic,ST (C),ITA,16,Cittadella,Unknown,Unknown,€9K - €28K,"€1,100 p/m",-,-,-,Balanced,Media-friendly,Young striker,30/6/2026,Fairly Strong,Very Strong,-,-,1,12,3,13,8,7,4,2,2,2,11,1,5,13,12,10,12,9,2,12,9,2,1,4,3,9,9,4,1,1,4,2,1,3,7,1,1,4,4,2000295016,3,179 cm
-,Yth,Samuel Cabras,M/AM (C),ITA,17,Cittadella,Unknown,Unknown,€7K - €20K,€950 p/m,-,-,-,Balanced,Media-friendly,Young attacking midfielder,30/6/2025,Reasonable,Very Strong,-,-,3,10,3,7,12,2,4,3,2,4,3,3,7,14,4,8,7,13,3,3,2,1,5,8,4,2,12,10,4,2,6,2,5,5,12,2,2,12,10,2000246001,3,177 cm
-,,Giuseppe Carriero,"DM, M (C)",ITA,25,Cittadella,Unknown,Unknown,€110K - €325K,"€14,000 p/m",-,-,-,Balanced,Media-friendly,Midfielder,30/6/2024,Weak,Very Strong,-,-,3,12,1,13,12,12,10,11,3,12,12,7,12,14,10,9,9,9,1,10,8,1,12,11,11,11,13,10,12,2,13,14,12,11,14,3,1,12,12,43162689,7,177 cm
-,Inj,Matteo Bonotto,M (C),ITA,17,Cittadella,Unknown,Unknown,€5K - €16K,€950 p/m,-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2025,Reasonable,Very Strong,-,-,1,8,1,13,8,6,3,5,4,6,5,3,3,10,2,5,10,5,1,4,10,1,10,6,6,6,9,13,3,3,6,5,9,6,13,2,3,13,11,2000245987,3,194 cm
-,Yth,Simone Bettelli,GK,ITA,15,Cittadella,Unknown,Unknown,€7K - €22K,€950 p/m,-,-,-,Balanced,Media-friendly,Young goalkeeper,30/6/2027,Weak,Very Strong,-,-,8,7,7,5,8,6,1,13,9,7,1,2,13,10,2,2,1,1,7,1,10,13,3,2,2,1,10,8,6,5,1,4,1,4,1,3,8,4,4,2000268856,2,190 cm
-,,Alessio Vita,M/AM (RLC),ITA,30,Cittadella,Unknown,Unknown,€425K - €1.3M,"€4,100 p/m",-,-,-,Fairly Loyal,Level-headed,Midfielder,30/6/2025,Weak,Very Strong,-,-,2,12,1,11,12,11,12,9,3,12,11,12,13,10,12,11,13,12,2,10,7,2,8,12,9,10,14,11,8,1,13,10,10,11,13,2,1,10,12,43077741,12,178 cm
-,Loa,Andrea Tessiore,M (C),ITA,23,Cittadella,Unknown,Unknown,€110K - €325K,"€11,250 p/m",-,-,-,Balanced,Media-friendly,Midfielder,30/6/2026,Reasonable,Very Strong,-,-,4,12,2,12,12,12,10,13,2,12,13,10,11,10,11,10,12,8,3,8,10,1,11,10,8,10,12,11,12,2,14,11,10,11,12,2,3,12,10,43253403,10,177 cm
-,Yth,Davide Cogo,"AM (C), ST (C)",ITA,17,Cittadella,Unknown,Unknown,€8K - €22K,€950 p/m,-,-,-,Balanced,"Outspoken, Media-friendly",Young attacking midfielder,30/6/2025,Reasonable,Very Strong,-,-,1,12,2,5,9,4,1,4,3,3,3,3,9,6,5,12,11,12,1,13,8,1,9,6,1,8,7,10,5,2,12,3,2,5,12,1,3,5,7,2000245999,1,182 cm
-,Yth,Lorenzo Beghetto,D (C),ITA,17,Cittadella,Unknown,Unknown,€8K - €24K,€950 p/m,-,-,-,Balanced,Level-headed,Young centre-back,30/6/2025,Fairly Strong,Very Strong,-,-,1,7,1,14,9,6,4,6,3,5,1,1,12,10,1,1,3,5,2,12,10,2,4,1,12,1,9,3,12,2,1,6,12,2,3,3,3,1,4,2000245997,1,189 cm
-,Yth,Maicol Basso,ST (C),ITA,16,Cittadella,Unknown,Unknown,€6K - €16K,€950 p/m,-,-,-,Balanced,Media-friendly,Young striker,30/6/2026,Reasonable,Very Strong,-,-,2,12,3,8,9,11,4,6,3,4,6,2,8,7,9,12,11,10,4,8,9,3,3,6,5,8,10,6,4,3,5,5,1,5,6,2,1,4,6,2000222309,5,173 cm
-,Yth,Alessandro Nino Nicolosi,GK,ITA,16,Cittadella,Unknown,Unknown,€6K - €18K,€950 p/m,-,-,-,Fairly Determined,Media-friendly,Young goalkeeper,30/6/2026,Fairly Strong,Very Strong,-,-,5,12,10,7,8,5,1,12,3,6,3,3,12,15,1,1,1,1,12,1,10,6,9,2,2,2,8,3,5,6,2,3,2,4,2,7,9,3,3,2000268849,3,189 cm
-,Yth,Gianmarco Doro,D (C),ITA,16,Cittadella,Unknown,Unknown,€6K - €18K,€950 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2026,Reasonable,Very Strong,-,-,1,11,2,7,6,8,5,7,1,8,2,2,12,7,1,4,3,5,1,9,10,3,1,2,9,1,9,4,10,4,3,6,10,4,2,2,1,1,5,2000222314,1,190 cm
-,Inj,Enrico Baldini,"AM (RLC), ST (C)",ITA,26,Cittadella,Unknown,Unknown,€150K - €450K,"€16,750 p/m",-,-,-,Balanced,Level-headed,Attacking midfielder,30/6/2024,Very Strong,Reasonable,-,-,1,13,2,12,12,13,10,11,3,12,12,11,11,12,10,12,10,14,3,8,8,3,9,12,4,12,12,12,8,1,14,10,8,12,11,3,1,12,10,43124562,11,178 cm
-,Yth,Michele Gobbato,D (C),ITA,16,Cittadella,Unknown,Unknown,€6K - €18K,€950 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2026,Fairly Strong,Very Strong,-,-,1,12,1,15,9,7,4,6,1,2,1,1,12,9,1,1,1,5,1,12,11,1,3,1,8,1,10,4,12,2,4,6,7,3,1,2,3,3,4,2000268851,2,189 cm
-,Yth,Tommaso Cielo,D (C),ITA,17,Cittadella,Unknown,Unknown,€6K - €18K,€950 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Reasonable,Very Strong,-,-,3,12,1,11,8,7,1,7,1,6,2,1,13,12,1,1,6,5,1,5,13,2,3,5,7,3,9,5,13,3,3,4,11,4,2,2,3,1,6,2000222312,1,184 cm
-,Yth,Mattia Canton,D/WB (L),ITA,17,Cittadella,Unknown,Unknown,€7K - €20K,€950 p/m,-,-,-,Determined,Media-friendly,Young full-back,30/6/2025,Very Strong,Weak,-,-,1,14,2,14,12,6,6,7,2,7,5,11,6,18,5,1,6,9,1,7,14,4,3,4,6,5,14,6,7,3,5,6,12,6,7,1,3,6,6,2000222311,5,191 cm
-,Inj,Matteo Angeli,"D (RC), WB (R)",ITA,20,Cittadella,Unknown,Unknown,€700K - €2.1M,"€10,500 p/m",-,-,-,Balanced,Media-friendly,Centre-back,30/6/2025,Weak,Very Strong,-,-,2,12,3,8,12,11,10,12,1,12,11,11,10,8,12,9,11,8,2,14,14,2,5,10,12,9,12,10,11,1,11,10,12,10,10,1,1,9,11,43433616,10,185 cm
-,,Francesco Amatucci,"DM, M (C)",ITA,22,Cittadella,Unknown,Unknown,€190K - €550K,"€15,000 p/m",-,-,-,Fairly Loyal,Level-headed,Midfielder,30/6/2025,Weak,Very Strong,-,-,1,12,4,14,12,13,12,13,2,15,12,9,12,14,8,8,10,5,2,7,7,2,13,10,10,10,10,12,12,1,14,12,13,12,9,2,1,13,15,43407340,8,182 cm
-,Loa,Moustafa Yabre,ST (C),ITA,18,Cittadella,Unknown,Unknown,€12K - €35K,€950 p/m,-,-,-,Balanced,Media-friendly,Young striker,30/6/2024,Reasonable,Very Strong,-,-,1,12,2,10,9,8,6,3,2,6,9,2,11,11,11,13,7,12,3,9,5,4,10,6,2,13,11,5,6,1,5,3,2,5,12,3,1,6,6,2000098397,5,180 cm
-,Yth,Oscar Allegra,D/WB (R),ITA,17,Cittadella,Unknown,Unknown,€8K - €24K,€950 p/m,-,-,-,Balanced,Media-friendly,Young full-back,30/6/2025,Weak,Very Strong,-,-,1,9,2,12,13,7,5,7,3,5,2,8,10,7,4,5,9,5,2,6,7,3,7,4,5,3,13,7,5,2,12,1,10,6,7,2,3,4,7,2000189348,3,167 cm
-,Yth,Amelio Troka,D (C),ALB,16,Cittadella,Unknown,Unknown,€6K - €18K,€950 p/m,-,-,-,Fairly Ambitious,Media-friendly,Young centre-back,30/6/2026,Fairly Strong,Very Strong,-,-,1,5,3,14,11,5,5,7,1,9,4,3,13,11,4,1,5,5,2,9,15,3,4,4,8,2,10,5,10,2,5,5,6,4,1,1,3,2,5,2000309644,1,190 cm
-,,Stefano Negro,D (RC),ITA,28,Cittadella,Unknown,Unknown,€35K - €100K,"€6,500 p/m",-,-,-,Fairly Loyal,Level-headed,Centre-back,30/6/2025,Reasonable,Very Strong,-,-,2,10,3,10,9,11,10,10,1,12,11,4,11,12,5,6,11,7,1,13,15,4,7,8,13,8,10,8,13,1,10,13,12,10,8,2,3,6,10,43093105,3,192 cm
-,Loa,Nicholas Saggionetto,M/AM (C),ITA,20,Cittadella,Unknown,Unknown,€10K - €30K,"€2,000 p/m",-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2024,Very Strong,Weak,-,-,2,11,3,10,12,9,11,11,3,10,9,7,12,9,10,7,10,8,2,7,8,1,8,6,9,13,11,11,9,2,9,8,9,12,10,3,1,10,11,43425846,8,184 cm
-,,Alessio Rizza,D/WB (L),ITA,20,Cittadella,Unknown,Unknown,€70K - €220K,"€3,000 p/m",-,-,-,Balanced,Media-friendly,Young full-back,30/6/2025,Very Strong,Weak,-,-,2,11,3,9,11,14,12,10,1,9,10,13,12,10,9,7,10,8,3,7,8,3,8,6,11,10,12,11,12,2,11,10,9,11,9,2,1,9,10,43591630,8,177 cm
-,Loa,Giacomo Rigo,D (C),ITA,17,Cittadella,Unknown,Unknown,€6K - €18K,€950 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Reasonable,Very Strong,-,-,2,14,4,6,14,4,6,7,2,6,5,1,13,8,1,4,5,5,2,5,1,1,11,3,14,5,14,6,9,2,11,1,14,5,5,2,3,3,6,2000134993,1,166 cm
-,,Alessandro Salvi,D/WB (R),ITA,35,Cittadella,Unknown,Unknown,€12K - €35K,"€6,000 p/m",-,-,-,Resolute,Level-headed,Veteran full-back,30/6/2024,Weak,Very Strong,-,-,3,12,2,15,13,12,11,11,2,12,10,12,9,15,12,9,10,8,1,13,13,2,10,12,10,13,12,12,11,2,13,10,13,14,13,1,2,10,13,43006533,11,183 cm
-,Yth,Alban Pezaire,D (C),FRA,17,Clermont,Unknown,Unknown,€55K - €170K,€400 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Reasonable,Very Strong,-,-,2,8,2,12,13,8,7,5,1,6,7,1,14,8,1,3,7,5,3,12,7,1,9,6,11,5,12,4,12,1,7,7,7,6,5,3,1,6,7,2000290938,5,181 cm
-,Yth,Antoine Torrent,ST (C),FRA,17,Clermont,Unknown,Unknown,€75K - €230K,€400 p/m,-,-,-,Balanced,Media-friendly,Young striker,30/6/2025,Very Strong,Fairly Strong,-,-,3,13,1,6,12,5,6,6,3,4,9,1,9,6,11,11,11,9,2,13,4,1,5,2,4,13,13,6,6,1,6,4,1,5,8,2,1,6,6,2000291071,5,179 cm
-,,Andy Pelmard,D (LC),FRA,23,Clermont,Unknown,Unknown,€1.5M - €4.4M,"€37,500 p/m",-,-,-,Fairly Professional,Level-headed,Centre-back,30/6/2027,Strong,Very Strong,-,-,1,14,3,10,13,14,10,11,2,11,13,7,12,14,12,5,13,11,2,12,11,1,8,6,13,8,14,12,13,2,14,13,14,12,13,1,4,11,12,49039039,6,180 cm
-,,Mory Diaw,GK,SEN,30,Clermont,Unknown,Unknown,€1.9M - €5.6M,"€62,000 p/m",-,-,-,Balanced,Media-friendly,Goalkeeper,30/6/2026,Weak,Very Strong,-,-,14,11,14,9,11,12,16,14,13,9,13,3,10,9,1,1,9,11,14,2,16,18,10,10,3,10,10,11,12,16,12,15,1,10,8,12,14,12,12,85057316,4,198 cm
-,,Shamar Nicholson,ST (C),JAM,26,Clermont,Unknown,Unknown,€1M - €3M,"€21,500 p/m",-,-,-,Fairly Determined,Level-headed,Striker,30/6/2026,Reasonable,Very Strong,-,-,3,14,3,12,13,12,10,13,2,13,14,9,13,15,9,11,12,14,1,15,16,1,7,11,6,13,14,11,9,1,13,14,6,12,10,2,2,12,12,81037383,9,192 cm
-,,Elba Rashani,"M (RL), AM (RLC)",KOS,30,Clermont,Unknown,Unknown,€1M - €3M,"€34,000 p/m",-,-,-,Balanced,Outspoken,Winger,30/6/2025,Very Strong,Reasonable,-,-,1,12,3,5,14,13,12,8,3,10,13,13,14,13,13,13,14,16,2,5,10,1,5,12,4,14,13,13,5,4,14,11,4,13,14,3,1,13,13,53052272,12,181 cm
-,Yth,Gabin Delassus,GK,FRA,16,Clermont,Unknown,Unknown,€130K - €400K,€300 p/m,-,-,-,Balanced,Media-friendly,Young goalkeeper,30/6/2026,Reasonable,Very Strong,-,-,9,13,10,14,5,4,6,12,8,8,6,2,13,14,1,1,1,1,10,1,10,13,1,2,2,3,11,12,6,13,1,6,2,6,1,7,6,5,5,2000290936,4,188 cm
-,Yth,Ibrahim Coulibaly,D (R),FRA,17,Clermont,Unknown,Unknown,€45K - €140K,€400 p/m,-,-,-,Balanced,Media-friendly,Young full-back,30/6/2025,Weak,Very Strong,-,-,1,15,2,9,12,10,3,9,1,7,8,13,14,3,7,1,11,7,1,8,12,3,2,3,5,3,14,4,9,2,8,7,11,8,8,1,1,3,8,2000206427,6,185 cm
-,,Matys Donavin,D (C),FRA,16,Clermont,Unknown,Unknown,€375K - €1.1M,"€2,800 p/m",-,-,-,Fairly Determined,Media-friendly,Young centre-back,30/6/2026,Very Strong,Very Weak,-,-,2,13,2,15,11,14,8,9,2,5,8,3,13,16,2,1,5,5,3,11,9,3,9,6,14,7,12,8,5,3,9,9,14,7,6,1,1,6,8,2000265987,2,187 cm
-,,Maxime Gonalons,"DM, M (C)",FRA,34,Clermont,Unknown,Unknown,€230K - €700K,"€55,000 p/m",-,-,-,Driven,Level-headed,Veteran midfielder,30/6/2024,Weak,Very Strong,-,-,3,10,4,15,12,15,13,14,2,12,12,6,14,18,10,5,13,8,1,15,15,3,13,8,14,8,12,14,14,2,13,13,14,15,13,3,2,12,14,34001572,5,187 cm
-,Yth,Ishak Hafiane,"D (C), DM, M (C)",FRA,18,Clermont,Unknown,Unknown,€22K - €70K,€500 p/m,-,-,-,Fairly Determined,Level-headed,Young midfielder,30/6/2024,Reasonable,Very Strong,-,-,3,14,1,11,12,6,7,7,1,6,6,6,14,17,6,7,8,5,3,7,14,3,5,8,10,6,11,9,5,1,7,7,12,8,8,1,1,6,12,2000122051,6,188 cm
-,Yth,Yanis Azagoh,GK,FRA,16,Clermont,Unknown,Unknown,€80K - €240K,€300 p/m,-,-,-,Fairly Determined,Media-friendly,Young goalkeeper,30/6/2026,Reasonable,Very Strong,-,-,8,13,12,7,13,6,6,8,10,9,1,3,13,17,3,3,3,2,10,1,10,9,4,3,1,1,13,12,8,13,5,4,1,6,1,7,5,5,5,2000206426,3,188 cm
-,Yth,Elhadj Koné,M (C),FRA,17,Clermont,Unknown,Unknown,€45K - €140K,€400 p/m,-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2025,Reasonable,Very Strong,-,-,3,14,1,10,14,5,7,3,2,6,7,6,13,3,7,7,10,5,2,3,6,1,11,8,5,3,13,7,5,2,7,6,6,8,10,1,1,9,11,2000206430,4,176 cm
-,Yth,Yacine Dehli,D (C),FRA,17,Clermont,Unknown,Unknown,€95K - €300K,€400 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Fairly Strong,Very Strong,-,-,2,5,2,5,7,11,6,8,1,4,6,1,13,7,1,5,3,5,3,13,7,1,3,3,12,3,8,5,13,2,6,7,13,5,4,4,1,1,6,2000290943,1,178 cm
-,,Mohamed-Amine Bouchenna,ST (C),FRA,17,Clermont,Unknown,Unknown,€240K - €700K,"€2,800 p/m",-,-,-,Balanced,Media-friendly,Young striker,30/6/2026,Weak,Very Strong,-,-,2,11,4,10,11,11,10,10,3,10,9,9,11,10,11,12,12,10,1,10,10,2,10,11,6,11,10,10,10,3,10,11,8,9,11,1,2,10,10,2000206425,9,176 cm
-,,Komnen Andrić,"AM (L), ST (C)",SRB,28,Clermont,Unknown,Unknown,€650K - €2M,"€25,000 p/m",-,-,-,Balanced,Level-headed,Nomadic striker,30/6/2025,Very Strong,Fairly Strong,-,-,3,10,2,11,10,13,13,9,1,13,13,9,15,12,10,13,12,10,1,13,14,1,10,9,8,13,11,11,10,1,12,14,8,16,12,1,3,12,13,62125508,9,189 cm
-,Yth,Corentin Ollier,M (C),FRA,17,Clermont,Unknown,Unknown,€65K - €200K,€400 p/m,-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2025,Reasonable,Very Strong,-,-,2,14,3,13,14,5,8,8,3,8,6,1,11,14,6,9,14,7,2,5,6,3,1,8,9,9,14,9,6,2,7,5,9,8,10,4,4,14,12,2000122054,2,175 cm
-,Yth,Ilhan Fakili,"M (L), AM (RL)",FRA,17,Clermont,Unknown,Unknown,€110K - €325K,€400 p/m,-,-,-,Balanced,Media-friendly,Young winger,30/6/2025,Very Strong,Reasonable,-,-,2,14,1,10,13,6,7,5,1,6,9,12,4,4,6,9,10,14,2,5,8,3,10,4,5,7,12,12,4,1,8,6,4,7,13,2,1,10,12,2000206432,7,177 cm
-,,Maximiliano Caufriez,D (RC),BEL,26,Clermont,Unknown,Unknown,€2.3M - €6.8M,"€43,500 p/m",-,-,-,Balanced,Level-headed,Centre-back,30/6/2026,Weak,Very Strong,-,-,2,13,2,18,12,13,13,17,2,11,12,10,13,14,10,6,10,11,3,14,14,2,14,8,14,10,13,11,13,3,12,15,14,15,9,2,3,10,14,8156077,8,188 cm
-,,Johan Gastien,"DM, M (C)",FRA,35,Clermont,Unknown,Unknown,Not for Sale,"€41,000 p/m",-,-,-,Fairly Professional,Reserved,Veteran midfielder,30/6/2025,Weak,Very Strong,-,-,3,11,2,12,13,14,13,14,3,13,12,12,13,14,11,7,14,12,2,9,10,2,14,10,11,13,14,15,13,4,15,10,11,15,14,1,2,13,15,34008270,12,179 cm
-,,Yohann Magnin,"D (C), DM, M (C)",FRA,26,Clermont,Unknown,Unknown,€1.1M - €3.2M,"€34,000 p/m",-,-,-,Fairly Loyal,Level-headed,Defensive midfielder,30/6/2025,Weak,Very Strong,-,-,3,12,1,11,12,13,10,13,1,14,11,10,13,12,9,9,12,12,2,10,12,3,13,11,12,10,12,13,14,3,14,13,13,15,12,2,4,12,14,48042634,10,183 cm
-,Yth,Grace Lalaye,AM (L),FRA,17,Clermont,Unknown,Unknown,€95K - €300K,€400 p/m,-,-,-,Balanced,Media-friendly,Young winger,30/6/2025,Very Strong,Reasonable,-,-,3,13,2,9,13,6,6,7,2,3,7,11,13,11,12,6,8,12,3,3,6,2,6,2,5,7,12,10,3,4,8,2,5,6,12,1,1,7,7,2000291070,7,175 cm
-,,Florent Ogier,D (C),FRA,34,Clermont,Unknown,Unknown,€85K - €250K,"€27,500 p/m",-,-,-,Fairly Determined,Level-headed,Veteran centre-back,30/6/2024,Weak,Very Strong,-,-,2,10,2,13,12,14,14,13,2,14,12,9,12,15,8,6,12,6,2,14,12,3,14,8,13,7,11,13,14,1,12,11,14,14,12,1,2,10,14,34001571,5,183 cm
-,,Mehdi Zeffane,D/WB (R),ALG,31,Clermont,Unknown,Unknown,€400K - €1.2M,"€27,500 p/m",-,-,-,Fairly Loyal,Level-headed,Full-back,30/6/2024,Reasonable,Very Strong,-,-,2,15,2,12,13,14,13,11,2,11,10,14,11,14,11,6,11,9,3,11,8,2,8,13,12,12,14,12,12,1,14,10,12,13,12,2,3,9,13,29114944,7,176 cm
-,Yth,Matthew Davis,D/WB (R),FRA,16,Clermont,Unknown,Unknown,€75K - €220K,€300 p/m,-,-,-,Balanced,Media-friendly,Young full-back,30/6/2026,Weak,Very Strong,-,-,1,13,3,9,11,5,7,8,1,8,7,11,12,11,6,1,6,10,2,5,8,2,10,2,6,6,11,8,6,1,13,5,11,7,8,2,4,6,8,2000290940,8,179 cm
-,Yth,Robin Pages,D (C),FRA,18,Clermont,Unknown,Unknown,€18K - €55K,€500 p/m,-,-,-,Balanced,Level-headed,Young centre-back,30/6/2024,Reasonable,Very Strong,-,-,3,8,2,5,10,10,7,8,1,9,7,3,14,7,1,2,7,5,4,14,13,1,1,3,14,4,9,2,7,1,5,8,10,6,6,3,3,3,6,2000122040,2,188 cm
-,Wnt,Cheick Oumar Konaté,"D (RC), WB (R), DM",MLI,19,Clermont,Unknown,Unknown,€550K - €1.7M,"€6,250 p/m",-,-,-,Balanced,Media-friendly,Full-back,30/6/2026,Weak,Very Strong,-,-,1,12,3,10,12,12,11,12,3,12,11,11,12,11,11,7,11,11,2,9,8,1,9,8,12,10,13,12,12,3,12,12,11,11,13,2,1,11,11,2000247504,8,173 cm
-,Wnt,Alidu Seidu,"D (RLC), WB (R)",GHA,23,Clermont,Unknown,Unknown,€2.5M - €7.6M,"€62,000 p/m",-,-,-,Balanced,Media-friendly,Centre-back,30/6/2027,Reasonable,Very Strong,-,-,3,14,3,12,11,12,15,15,3,13,11,11,12,14,10,6,11,11,2,11,11,1,10,9,13,10,15,10,12,2,14,15,14,12,11,2,2,11,12,49063222,10,173 cm
-,,Bilal Boutobba,"M (R), AM (RC)",FRA,24,Clermont,Unknown,Unknown,€120K - €350K,"€20,500 p/m",-,-,-,Balanced,Media-friendly,Winger,30/6/2026,Very Strong,Fairly Strong,-,-,4,13,2,8,14,11,12,6,3,8,10,12,12,9,15,12,14,16,1,6,6,3,7,10,5,10,14,12,7,3,12,7,6,10,15,4,1,12,10,85144064,10,173 cm
-,Wnt,Jérémie Bela,WB/M/AM (RL),ANG,30,Clermont,Unknown,Unknown,€350K,"€16,500 p/m",-,-,-,Fairly Sporting,Media-friendly,Winger,30/6/2024,Reasonable,Very Strong,-,-,2,12,2,8,12,11,12,12,3,9,11,13,10,12,13,11,12,12,1,5,7,3,6,12,4,12,13,12,8,2,12,9,3,11,13,3,3,10,12,29041503,11,173 cm
-,,Habib Keïta,"DM, M/AM (C)",MLI,21,Clermont,Unknown,Unknown,€750K - €2.3M,"€13,750 p/m",-,-,-,Balanced,Media-friendly,Midfielder,30/6/2027,Very Strong,Weak,-,-,2,12,3,16,13,11,10,14,3,13,9,11,10,13,14,8,12,14,1,7,10,2,8,11,10,14,12,12,10,2,14,10,13,14,13,1,3,12,13,2000049935,11,182 cm
-,Yth,Joan Reynaud,GK,FRA,16,Clermont,Unknown,Unknown,€120K - €375K,€300 p/m,-,-,-,Balanced,Media-friendly,Young goalkeeper,30/6/2026,Reasonable,Very Strong,-,-,8,13,10,7,14,8,6,15,7,9,4,2,10,12,2,2,1,3,12,1,7,8,1,2,1,1,11,7,8,12,1,4,1,6,4,4,11,5,4,2000290935,2,183 cm
-,,Yoël Armougom,D/WB/M (L),FRA,25,Clermont,Unknown,Unknown,€160K - €475K,"€13,750 p/m",-,-,-,Balanced,Level-headed,Full-back,30/6/2025,Very Strong,Weak,-,-,3,15,3,10,13,12,10,11,1,11,10,12,10,10,13,5,12,8,1,6,7,1,7,10,12,11,15,12,12,3,12,10,10,12,12,3,2,10,11,48044378,5,175 cm
